location,date,vaccine,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
Australia,21/02/2021,Pfizer/BioNTech,20,20,0,0
Australia,22/02/2021,Pfizer/BioNTech,2789,2789,0,0
Australia,23/02/2021,Pfizer/BioNTech,6914,6911,3,0
Australia,24/02/2021,Pfizer/BioNTech,16629,16626,3,0
Australia,25/02/2021,Pfizer/BioNTech,23510,23501,9,0
Australia,26/02/2021,Pfizer/BioNTech,30000,29989,11,0
Australia,27/02/2021,Pfizer/BioNTech,31894,31882,12,0
Australia,28/02/2021,Pfizer/BioNTech,34630,34618,12,0
Australia,1/03/2021,Pfizer/BioNTech,41907,41895,12,0
Australia,2/03/2021,Pfizer/BioNTech,51070,51058,12,0
Australia,3/03/2021,Pfizer/BioNTech,61009,60994,15,0
Australia,4/03/2021,Pfizer/BioNTech,71867,71848,19,0
Australia,5/03/2021,Pfizer/BioNTech,76940,76916,24,0
Australia,6/03/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",81345,81321,24,0
Australia,7/03/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",86369,86345,24,0
Australia,8/03/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",94908,94884,24,0
Australia,9/03/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",108328,108301,27,0
Australia,10/03/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",125000,124972,28,0
Australia,11/03/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",135109,135077,32,0
Australia,12/03/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",159294,159260,34,0
Australia,13/03/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",162551,162517,34,0
Australia,14/03/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",164781,164746,35,0
Australia,15/03/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",182437,182214,223,0
Australia,16/03/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",203557,203032,525,0
Australia,17/03/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",226057,224711,1346,0
Australia,18/03/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",240754,238673,2081,0
Australia,19/03/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",253831,251060,2771,0
Australia,20/03/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",256782,253858,2924,0
Australia,21/03/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",281960,262283,19677,0
Australia,22/03/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",312502,289317,23185,0
Australia,23/03/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",358502,334123,24379,0
Australia,24/03/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",408410,379837,28573,0
Australia,25/03/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",460155,427294,32861,0
Australia,26/03/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",506465,471771,34694,0
Australia,27/03/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",524189,488220,35969,0
Australia,28/03/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",541761,505085,36676,0
Australia,29/03/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",597525,551335,46190,0
Australia,30/03/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",670351,620336,50015,0
Australia,31/03/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",744330,671606,72724,0
Australia,1/04/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",823613,744369,79244,0
Australia,2/04/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",828059,747698,80361,0
Australia,3/04/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",843182,761864,81318,0
Australia,4/04/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",844309,762679,81630,0
Australia,5/04/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",854983,771972,83011,0
Australia,6/04/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",920334,829963,90371,0
Australia,7/04/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",996214,899641,96573,0
Australia,8/04/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",1077511,940239,137272,0
Australia,9/04/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",1138866,993668,145198,0
Australia,10/04/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",1166568,1018671,147897,0
Australia,11/04/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",1178302,1029486,148816,0
Australia,12/04/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",1234681,1077574,157107,0
Australia,13/04/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",1295672,1131621,164051,0
Australia,14/04/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",1359305,1188424,170881,0
Australia,15/04/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",1420577,1242588,177989,0
Australia,16/04/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",1474558,1290409,184149,0
Australia,17/04/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",1496912,1310866,186046,0
Australia,18/04/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",1586556,1399808,186748,0
Australia,19/04/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",1653286,1459097,194189,0
Australia,20/04/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",1718107,1516390,201717,0
Australia,21/04/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",1785698,1565322,220376,0
Australia,22/04/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",1855601,1628307,227294,0
Australia,23/04/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",1914047,1682424,231623,0
Australia,24/04/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",1934077,1701357,232720,0
Australia,25/04/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",1937485,1704743,232742,0
Australia,26/04/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",1969337,1735756,233581,0
Australia,27/04/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2029544,1791020,238524,0
Australia,28/04/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2112285,1867045,245240,0
Australia,29/04/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2179544,1926672,252872,0
Australia,30/04/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2234844,1976315,258529,0
Australia,1/05/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2254074,1994063,260011,0
Australia,2/05/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2260615,1999899,260716,0
Australia,3/05/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2316969,2051573,265396,0
Australia,4/05/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2396314,2124394,271920,0
Australia,5/05/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2473529,2195139,278390,0
Australia,6/05/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2554531,2268890,285641,0
Australia,7/05/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2627725,2335211,292514,0
Australia,8/05/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2654338,2360192,294146,0
Australia,9/05/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2663221,2368476,294745,0
Australia,10/05/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2736107,2436106,300001,0
Australia,11/05/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2812486,2506399,306087,0
Australia,12/05/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2894770,2580660,314110,0
Australia,13/05/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2980644,2660509,320135,0
Australia,14/05/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",3056797,2728447,328350,0
Australia,15/05/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",3089184,2758361,330823,0
Australia,16/05/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",3100137,2768527,331610,0
Australia,17/05/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",3183324,2772593,410731,0
Australia,18/05/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",3278854,2861133,417721,0
Australia,19/05/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",3371728,2946301,425427,0
Australia,20/05/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",3472874,3038105,434769,0
Australia,21/05/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",3562495,3120757,,0
Australia,22/05/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",3599964,3156107,,0
Australia,23/05/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",3613053,3168814,,0
Australia,24/05/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",3690622,3255437,435185,0
Australia,25/05/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",3795280,3320569,474711,0
Australia,26/05/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",3906668,3425248,481420,0
Australia,27/05/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",4031539,3541569,489970,0
Australia,28/05/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",4153149,3655905,497244,0
Australia,29/05/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",4212899,3714197,498702,0
Australia,30/05/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",4243600,3743622,499978,0
Australia,31/05/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",4362739,3856485,506254,0
Australia,1/06/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",4501444,3960329,541115,0
Australia,2/06/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",4642703,4092509,550194,0
Australia,3/06/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",4786362,4226528,559834,0
Australia,4/06/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",4927607,4357962,569645,0
Australia,5/06/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",5016352,4442925,573427,0
Australia,6/06/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",5076413,4463413,613000,0
Australia,7/06/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",5203977,4568516,635461,0
Australia,8/06/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",5344862,4693030,651832,0
Australia,9/06/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",5487670,4817746,669924,0
Australia,10/06/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",5641008,4954528,686480,0
Australia,11/06/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",5773924,,703581,0
Australia,12/06/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",5834746,,710650,0
Australia,13/06/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",5867299,5000913,866386,0
Australia,14/06/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",5931245,5029208,902037,0
Australia,15/06/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",6083320,5157291,926029,0
Australia,16/06/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",6219330,5258090,961240,0
Australia,17/06/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",6360666,5340569,1020097,0
Australia,18/06/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",6491476,5447144,1044332,0
Australia,19/06/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",6556029,5499359,1056670,0
Australia,20/06/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",6590741,5509653,1081088,0
Australia,21/06/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",6719384,5630732,1088652,0
Australia,22/06/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",6860276,5645745,1214531,0
Australia,23/06/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",6999198,5756508,1242690,0
Australia,24/06/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",7137632,5777713,1359919,0
Australia,25/06/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",7257605,5871374,1386231,0
Australia,26/06/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",7326320,5876688,1449632,0
Australia,27/06/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",7374666,5897308,1477358,0
