location,date,source_url
England,10/01/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,11/01/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,12/01/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,13/01/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,14/01/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,15/01/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,16/01/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,17/01/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,18/01/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,19/01/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,20/01/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,21/01/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,22/01/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,23/01/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,24/01/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,25/01/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,26/01/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,27/01/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,28/01/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,29/01/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,30/01/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,31/01/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,1/02/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,2/02/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,3/02/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,4/02/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,5/02/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,6/02/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,7/02/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,8/02/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,9/02/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,10/02/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,11/02/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,12/02/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,13/02/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,14/02/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,15/02/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,16/02/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,17/02/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,18/02/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,19/02/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,20/02/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,21/02/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,22/02/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,23/02/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,24/02/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,25/02/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,26/02/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,27/02/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,28/02/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,1/03/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,2/03/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,3/03/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,4/03/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,5/03/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,6/03/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,7/03/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,8/03/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,9/03/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,10/03/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,11/03/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,12/03/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,13/03/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,14/03/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,15/03/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,16/03/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,17/03/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,18/03/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,19/03/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,20/03/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,21/03/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,22/03/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,23/03/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,24/03/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,25/03/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,26/03/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,27/03/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,28/03/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,29/03/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,30/03/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,31/03/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,1/04/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,2/04/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,3/04/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,4/04/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,5/04/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,6/04/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,7/04/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,8/04/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,9/04/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,10/04/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,11/04/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,12/04/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,13/04/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,14/04/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,15/04/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,16/04/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,17/04/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,18/04/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,19/04/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,20/04/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,21/04/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,22/04/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,23/04/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,24/04/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,25/04/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,26/04/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,27/04/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,28/04/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,29/04/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,30/04/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,1/05/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,2/05/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,3/05/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,4/05/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,5/05/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,6/05/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,7/05/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,8/05/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,9/05/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,10/05/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,11/05/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,12/05/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,13/05/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,14/05/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,15/05/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,16/05/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,17/05/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,18/05/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,19/05/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,20/05/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,21/05/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,22/05/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,23/05/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,24/05/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,25/05/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,26/05/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,27/05/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,28/05/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,29/05/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,30/05/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,31/05/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,1/06/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,2/06/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,3/06/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,4/06/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,5/06/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,6/06/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,7/06/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,8/06/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,9/06/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,10/06/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,11/06/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,12/06/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,13/06/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,14/06/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,15/06/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,16/06/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,17/06/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,18/06/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,19/06/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,20/06/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,22/06/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,23/06/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,24/06/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,25/06/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,26/06/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,27/06/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,28/06/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,29/06/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,30/06/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,1/07/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,2/07/2021,https://coronavirus.data.gov.uk/details/vaccinations
