date,location,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,share_doses_used,total_boosters,,
12/01/2021,Alabama,78134,377025,70861,7270,,,0.207,,,
13/01/2021,Alabama,84040,378975,74792,9245,5906,5906,0.222,,,
14/01/2021,Alabama,92300,435350,80480,,8260,7083,0.212,,,
15/01/2021,Alabama,100567,444650,86956,13488,8267,7478,0.226,,,
16/01/2021,Alabama,,,,,,7498,,,,
17/01/2021,Alabama,,,,,,7509,,,,
18/01/2021,Alabama,,,,,,7517,,,,
19/01/2021,Alabama,130795,444650,114319,16346,,7523,0.294,,,
20/01/2021,Alabama,139200,483275,121113,17956,8405,7880,0.288,,,
21/01/2021,Alabama,165919,493125,144429,21345,26719,10517,0.336,,,
22/01/2021,Alabama,199314,519525,174317,24840,33395,14107,0.384,,,
23/01/2021,Alabama,221540,521225,193955,27422,22226,16202,0.425,,,
24/01/2021,Alabama,243737,521225,213833,29736,22197,18294,0.468,,,
25/01/2021,Alabama,250612,521225,220464,29978,6875,18196,0.481,,,
26/01/2021,Alabama,254959,569000,223854,30933,4347,17738,0.448,,,
27/01/2021,Alabama,266444,634000,232633,33595,11485,18178,0.42,,,
28/01/2021,Alabama,278993,655275,241337,37431,12549,16153,0.426,,,
29/01/2021,Alabama,300915,659400,256601,44073,21922,14514,0.456,,,
30/01/2021,Alabama,342436,659400,288368,53742,41521,17271,0.519,,,
31/01/2021,Alabama,353974,659400,298301,55331,11538,15748,0.537,,,
1/02/2021,Alabama,358280,659400,301628,56308,4306,15381,0.543,,,
2/02/2021,Alabama,371882,680550,312711,58825,13602,16703,0.546,,,
3/02/2021,Alabama,388339,765150,324998,62990,16457,17414,0.508,,,
4/02/2021,Alabama,408428,799675,338845,69155,20089,18491,0.511,,,
5/02/2021,Alabama,430597,799875,353522,76603,22169,18526,0.538,,,
6/02/2021,Alabama,455173,804100,370275,84278,24576,16105,0.566,,,
7/02/2021,Alabama,462332,804100,375567,86141,7159,15480,0.575,,,
8/02/2021,Alabama,467636,804100,378514,88453,5304,15622,0.582,,,
9/02/2021,Alabama,490969,823600,395196,95033,23333,17012,0.596,,,
10/02/2021,Alabama,515802,861175,412462,102520,24833,18209,0.599,,,
11/02/2021,Alabama,543237,911875,431259,111036,27435,19258,0.596,,,
12/02/2021,Alabama,571115,936200,448071,122019,27878,20074,0.61,,,
13/02/2021,Alabama,601159,963600,467032,133029,30044,20855,0.624,,,
14/02/2021,Alabama,612254,965550,474065,137032,11095,21417,0.634,,,
15/02/2021,Alabama,,,,,,22405,,,,
16/02/2021,Alabama,636682,1015775,486206,149288,,20816,0.627,,,
17/02/2021,Alabama,650020,1032175,494424,154341,13338,19174,0.63,,,
18/02/2021,Alabama,672038,1032175,505660,165104,22018,18400,0.651,,,
19/02/2021,Alabama,739132,1077600,545431,192304,67094,24002,0.686,,,
20/02/2021,Alabama,776936,1078800,560968,214512,37804,25111,0.72,,,
21/02/2021,Alabama,788613,1082100,567505,219639,11677,25194,0.729,,,
22/02/2021,Alabama,793614,1082100,583741,228101,5001,24164,0.733,,,
23/02/2021,Alabama,815108,1084440,593936,239425,21494,25489,0.752,,,
24/02/2021,Alabama,839703,1138650,604602,253615,24595,27098,0.737,,,
25/02/2021,Alabama,864757,1170120,615100,268465,25054,27531,0.739,,,
26/02/2021,Alabama,893859,1380380,627063,286095,29102,22104,0.648,,,
27/02/2021,Alabama,931090,1402180,643208,307868,37231,22022,0.664,,,
28/02/2021,Alabama,942502,1402280,649745,313290,11412,21984,0.672,,,
1/03/2021,Alabama,948393,1402280,653309,316073,5891,22111,0.676,,,
2/03/2021,Alabama,972161,1461320,663187,330046,23768,22436,0.665,,,
3/03/2021,Alabama,1000031,1469100,674810,346841,27870,22904,0.681,,,
4/03/2021,Alabama,1032171,1530470,688791,365456,32140,23916,0.674,,,
5/03/2021,Alabama,1064578,1556460,704173,383078,32407,24388,0.684,,,
6/03/2021,Alabama,1099697,1628350,721109,402061,35119,24087,0.675,,,
7/03/2021,Alabama,1110132,1628350,727681,406723,10435,23947,0.682,,,
8/03/2021,Alabama,1116676,1628350,732967,409937,6544,24040,0.686,,,
9/03/2021,Alabama,1140984,1689050,747268,420083,24308,24118,0.676,,,
10/03/2021,Alabama,1173820,1775660,768502,435018,32836,24827,0.661,,,
11/03/2021,Alabama,1209802,1816230,790864,452746,35982,25376,0.666,,,
12/03/2021,Alabama,1249205,1838400,816418,472325,39403,26375,0.68,,,
13/03/2021,Alabama,1288242,1918560,841394,492755,39037,26935,0.671,,,
14/03/2021,Alabama,1298612,1918560,849337,497653,10370,26926,0.677,,,
15/03/2021,Alabama,1306419,1918560,854302,501344,7807,27106,0.681,,,
16/03/2021,Alabama,1332298,2004160,871536,511869,25879,27331,0.665,,,
17/03/2021,Alabama,1363987,2080870,893767,523649,31689,27167,0.655,,,
18/03/2021,Alabama,1390066,2118650,912663,533375,26079,25752,0.656,,,
19/03/2021,Alabama,1426696,2141210,937614,547257,36630,25356,0.666,,,
20/03/2021,Alabama,1460782,2177880,960539,561254,34086,24649,0.671,,,
21/03/2021,Alabama,1472666,2177880,968459,566632,11884,24865,0.676,,,
22/03/2021,Alabama,1479271,2177880,972986,569127,6605,24693,0.679,,,
23/03/2021,Alabama,1509445,2275030,994253,579598,30174,25307,0.663,,,
24/03/2021,Alabama,1542416,2403720,1019858,589979,32971,25490,0.642,,,
25/03/2021,Alabama,1579091,2459980,1048838,600666,36675,27004,0.642,,,
26/03/2021,Alabama,1611404,2497410,1072623,611694,32313,26387,0.645,,,
27/03/2021,Alabama,1645858,2535880,1098597,623385,34454,26439,0.649,,,
28/03/2021,Alabama,1659102,2537050,1108253,628500,13244,26634,0.654,,,
29/03/2021,Alabama,1666585,2537050,1113924,631388,7483,26759,0.657,,,
30/03/2021,Alabama,1697641,2722700,1134739,643450,31056,26885,0.624,,,
31/03/2021,Alabama,1728736,2796630,1155139,656899,31095,26617,0.618,,,
1/04/2021,Alabama,1771979,2839540,1184284,673773,43243,27555,0.624,,,
2/04/2021,Alabama,1813462,2872410,1211424,691082,41483,28865,0.631,,,
3/04/2021,Alabama,1847243,2891780,1234131,705197,33781,28769,0.639,,,
4/04/2021,Alabama,1858833,2892950,1242706,709849,11590,28533,0.643,,,
5/04/2021,Alabama,1864857,2892950,1248029,711596,6024,28325,0.645,,,
6/04/2021,Alabama,1896920,3106870,1267859,725270,32063,28468,0.611,,,
7/04/2021,Alabama,1935221,3149910,1291487,744961,38301,29498,0.614,,,
8/04/2021,Alabama,1976344,3170520,1317995,764450,41123,29195,0.623,,,
9/04/2021,Alabama,2021334,3248260,1344658,788325,44990,29696,0.622,,,
10/04/2021,Alabama,2065327,3278980,1371201,811323,43993,31155,0.63,,,
11/04/2021,Alabama,2082605,3278980,1382951,819550,17278,31967,0.635,,,
12/04/2021,Alabama,2092489,3278980,1389598,824052,9884,32519,0.638,,,
13/04/2021,Alabama,2127317,3358930,1407463,844353,34828,32914,0.633,,,
14/04/2021,Alabama,2168891,3493380,1426530,868550,41574,33381,0.621,,,
15/04/2021,Alabama,2207392,3516420,1442051,893002,38501,33007,0.628,,,
16/04/2021,Alabama,2245574,3531670,1459377,915654,38182,32034,0.636,,,
17/04/2021,Alabama,2280686,3664640,1476162,935377,35112,30766,0.622,,,
18/04/2021,Alabama,2292276,3664740,1481314,943129,11590,29953,0.625,,,
19/04/2021,Alabama,2297563,3664740,1483779,946333,5287,29296,0.627,,,
20/04/2021,Alabama,2327764,3761730,1494421,966251,30201,28635,0.619,,,
21/04/2021,Alabama,2360527,3796070,1507116,987379,32763,27377,0.622,,,
22/04/2021,Alabama,2394304,3825010,1518928,1010415,33777,26702,0.626,,,
23/04/2021,Alabama,2429629,3898820,1531741,1033996,35325,26294,0.623,,,
24/04/2021,Alabama,2461510,3960530,1543544,1054863,31881,25832,0.622,,,
25/04/2021,Alabama,2471409,3960530,1546659,1062524,9899,25590,0.624,,,
26/04/2021,Alabama,2478227,3960530,1549782,1066659,6818,25809,0.626,,,
27/04/2021,Alabama,2499694,4009430,1558652,1079815,21467,24561,0.623,,,
28/04/2021,Alabama,2527815,4033570,1568315,1098820,28121,23898,0.627,,,
29/04/2021,Alabama,2559938,4042070,1579093,1121348,32123,23662,0.633,,,
30/04/2021,Alabama,2591163,4088030,1589518,1143488,31225,23076,0.634,,,
1/05/2021,Alabama,2617405,4130550,1599130,1161725,26242,22271,0.634,,,
2/05/2021,Alabama,2622717,4130550,1601433,1165479,5312,21615,0.635,,,
3/05/2021,Alabama,2627322,4130550,1603454,1168235,4605,21299,0.636,,,
4/05/2021,Alabama,2644674,4145390,1609919,1179793,17352,20711,0.638,,,
5/05/2021,Alabama,2670926,4187860,1618791,1199064,26252,20444,0.638,,,
6/05/2021,Alabama,2673181,4225140,1619783,1201303,2255,16178,0.633,,,
7/05/2021,Alabama,2726356,4241420,1636710,1240335,53175,19313,0.643,,,
8/05/2021,Alabama,2758021,4277330,1649688,1263965,31665,20088,0.645,,,
9/05/2021,Alabama,2768204,4277330,1654267,1270858,10183,20784,0.647,,,
10/05/2021,Alabama,2773615,4277330,1657672,1273670,5411,20899,0.648,,,
11/05/2021,Alabama,2773902,4295160,1658191,1273999,287,18461,0.646,,,
12/05/2021,Alabama,2791631,4311320,1664353,1286565,17729,17244,0.648,,,
13/05/2021,Alabama,2831853,4322400,1678119,1314534,40222,22667,0.655,,,
14/05/2021,Alabama,2859591,4348790,1687875,1334176,27738,19034,0.658,,,
15/05/2021,Alabama,2881314,4373130,1697289,1348023,21723,17613,0.659,,,
16/05/2021,Alabama,2886106,4373130,1699751,1350643,4792,16843,0.66,,,
17/05/2021,Alabama,2886153,4373130,1699915,1350830,47,16077,0.66,,,
18/05/2021,Alabama,2905553,4389040,1709333,1362380,19400,18807,0.662,,,
19/05/2021,Alabama,2906102,4393980,1709761,1362834,549,16353,0.661,,,
20/05/2021,Alabama,2939161,4415280,1725694,1382327,33059,15330,0.666,,,
21/05/2021,Alabama,2945488,4449370,1727437,1387356,6327,12271,0.662,,,
22/05/2021,Alabama,2962661,4476640,1736645,1396990,17173,11621,0.662,,,
23/05/2021,Alabama,2981931,4476640,1746820,1407769,19270,13689,0.666,,,
24/05/2021,Alabama,2982081,4476640,1747012,1407917,150,13704,0.666,,,
25/05/2021,Alabama,2996346,4484660,1754294,1415771,14265,12970,0.668,,,
26/05/2021,Alabama,3002607,4501400,1757607,1419599,6261,13786,0.667,,,
27/05/2021,Alabama,3007387,4520480,1758850,1423605,4780,9747,0.665,,,
28/05/2021,Alabama,3016803,4523700,1763553,1429238,9416,10188,0.667,,,
29/05/2021,Alabama,3020540,4578590,1765515,1431669,3737,8268,0.66,,,
30/05/2021,Alabama,3021454,4578590,1766055,1432446,914,5646,0.66,,,
31/05/2021,Alabama,,,,,,5683,,,,
1/06/2021,Alabama,3022276,4578590,1766784,1433267,,3704,0.66,,,
2/06/2021,Alabama,3025283,4583270,1768055,1435324,3007,3239,0.66,,,
3/06/2021,Alabama,3025695,4597950,1768288,1435719,412,2615,0.658,,,
4/06/2021,Alabama,3032765,4606930,1771964,1440101,7070,2280,0.658,,,
5/06/2021,Alabama,3032931,4637330,1772245,1440289,166,1770,0.654,,,
6/06/2021,Alabama,3035058,4637330,1773379,1441834,2127,1943,0.654,,,
7/06/2021,Alabama,3036419,4637330,1774139,1442775,1361,2079,0.655,,,
8/06/2021,Alabama,3036833,4646130,1774535,1443230,414,2080,0.654,,,
9/06/2021,Alabama,3040485,4646550,1776278,1445608,3652,2172,0.654,,,
10/06/2021,Alabama,3064250,4648150,1787017,1460230,23765,5508,0.659,,,
11/06/2021,Alabama,3078445,4658570,1793119,1468898,14195,6526,0.661,,,
12/06/2021,Alabama,3105159,4678220,1805486,1485108,26714,10318,0.664,,,
13/06/2021,Alabama,3114649,4678220,1810074,1490848,9490,11370,0.666,,,
14/06/2021,Alabama,3128112,4678220,1815885,1499941,13463,13099,0.669,,,
15/06/2021,Alabama,3129657,4686280,1816769,1501171,1545,13261,0.668,,,
16/06/2021,Alabama,3141802,4692070,1822146,1508504,12145,14474,0.67,,,
17/06/2021,Alabama,3253283,4726010,1898131,1546119,111481,27005,0.688,,,
18/06/2021,Alabama,3254330,4734100,1898704,1546983,1047,25126,0.687,,,
19/06/2021,Alabama,3275273,4758560,1909005,1558881,20943,24302,0.688,,,
20/06/2021,Alabama,3282193,4758560,1913032,1562192,6920,23935,0.69,,,
21/06/2021,Alabama,3285448,4758560,1915122,1563573,3255,22477,0.69,,,
22/06/2021,Alabama,3291351,4759120,1918334,1566908,5903,23099,0.692,,,
23/06/2021,Alabama,3298895,4767580,1922707,1570452,7544,22442,0.692,,,
24/06/2021,Alabama,3308713,4769800,1928656,1574676,9818,7919,0.694,,,
25/06/2021,Alabama,3308961,4783230,1928903,1574934,248,7804,0.692,,,
26/06/2021,Alabama,3317156,4801760,1933773,1578780,8195,5983,0.691,,,
27/06/2021,Alabama,3330128,4801760,1941681,1584456,12972,6848,0.694,,,
