location,date,age_group,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,people_with_booster_per_hundred,,,,,
Argentina,1/01/2020,100+,0,0,0,,,,,
Argentina,1/01/2020,12-17,0,0,0,,,,,
Argentina,1/01/2020,18-29,0,0,0,,,,,
Argentina,1/01/2020,3-11,0,0,0,,,,,
Argentina,1/01/2020,30-39,0,0,0,,,,,
Argentina,1/01/2020,40-49,0,0,0,,,,,
Argentina,1/01/2020,50-59,0,0,0,,,,,
Argentina,1/01/2020,60-69,0,0,0,,,,,
Argentina,1/01/2020,70-79,0,0,0,,,,,
Argentina,1/01/2020,80-89,0,0,0,,,,,
Argentina,1/01/2020,90-99,0,0,0,,,,,
Argentina,2/01/2020,100+,0,0,0,,,,,
Argentina,2/01/2020,12-17,0,0,0,,,,,
Argentina,2/01/2020,18-29,0,0,0,,,,,
Argentina,2/01/2020,3-11,0,0,0,,,,,
Argentina,2/01/2020,30-39,0,0,0,,,,,
Argentina,2/01/2020,40-49,0,0,0,,,,,
Argentina,2/01/2020,50-59,0,0,0,,,,,
Argentina,2/01/2020,60-69,0,0,0,,,,,
Argentina,2/01/2020,70-79,0,0,0,,,,,
Argentina,2/01/2020,80-89,0,0,0,,,,,
Argentina,2/01/2020,90-99,0,0,0,,,,,
Argentina,3/01/2020,100+,0,0,0,,,,,
Argentina,3/01/2020,12-17,0,0,0,,,,,
Argentina,3/01/2020,18-29,0,0,0,,,,,
Argentina,3/01/2020,3-11,0,0,0,,,,,
Argentina,3/01/2020,30-39,0,0,0,,,,,
Argentina,3/01/2020,40-49,0,0,0,,,,,
Argentina,3/01/2020,50-59,0,0,0,,,,,
Argentina,3/01/2020,60-69,0,0,0,,,,,
Argentina,3/01/2020,70-79,0,0,0,,,,,
Argentina,3/01/2020,80-89,0,0,0,,,,,
Argentina,3/01/2020,90-99,0,0,0,,,,,
Argentina,4/01/2020,100+,0,0,0,,,,,
Argentina,4/01/2020,12-17,0,0,0,,,,,
Argentina,4/01/2020,18-29,0,0,0,,,,,
Argentina,4/01/2020,3-11,0,0,0,,,,,
Argentina,4/01/2020,30-39,0,0,0,,,,,
Argentina,4/01/2020,40-49,0,0,0,,,,,
Argentina,4/01/2020,50-59,0,0,0,,,,,
Argentina,4/01/2020,60-69,0,0,0,,,,,
Argentina,4/01/2020,70-79,0,0,0,,,,,
Argentina,4/01/2020,80-89,0,0,0,,,,,
Argentina,4/01/2020,90-99,0,0,0,,,,,
Argentina,5/01/2020,100+,0,0,0,,,,,
Argentina,5/01/2020,12-17,0,0,0,,,,,
Argentina,5/01/2020,18-29,0,0,0,,,,,
Argentina,5/01/2020,3-11,0,0,0,,,,,
Argentina,5/01/2020,30-39,0,0,0,,,,,
Argentina,5/01/2020,40-49,0,0,0,,,,,
Argentina,5/01/2020,50-59,0,0,0,,,,,
Argentina,5/01/2020,60-69,0,0,0,,,,,
Argentina,5/01/2020,70-79,0,0,0,,,,,
Argentina,5/01/2020,80-89,0,0,0,,,,,
Argentina,5/01/2020,90-99,0,0,0,,,,,
Argentina,6/01/2020,100+,0,0,0,,,,,
Argentina,6/01/2020,12-17,0,0,0,,,,,
Argentina,6/01/2020,18-29,0,0,0,,,,,
Argentina,6/01/2020,3-11,0,0,0,,,,,
Argentina,6/01/2020,30-39,0,0,0,,,,,
Argentina,6/01/2020,40-49,0,0,0,,,,,
Argentina,6/01/2020,50-59,0,0,0,,,,,
Argentina,6/01/2020,60-69,0,0,0,,,,,
Argentina,6/01/2020,70-79,0,0,0,,,,,
Argentina,6/01/2020,80-89,0,0,0,,,,,
Argentina,6/01/2020,90-99,0,0,0,,,,,
Argentina,7/01/2020,100+,0,0,0,,,,,
Argentina,7/01/2020,12-17,0,0,0,,,,,
Argentina,7/01/2020,18-29,0,0,0,,,,,
Argentina,7/01/2020,3-11,0,0,0,,,,,
Argentina,7/01/2020,30-39,0,0,0,,,,,
Argentina,7/01/2020,40-49,0,0,0,,,,,
Argentina,7/01/2020,50-59,0,0,0,,,,,
Argentina,7/01/2020,60-69,0,0,0,,,,,
Argentina,7/01/2020,70-79,0,0,0,,,,,
Argentina,7/01/2020,80-89,0,0,0,,,,,
Argentina,7/01/2020,90-99,0,0,0,,,,,
Argentina,8/01/2020,100+,0,0,0,,,,,
Argentina,8/01/2020,12-17,0,0,0,,,,,
Argentina,8/01/2020,18-29,0,0,0,,,,,
Argentina,8/01/2020,3-11,0,0,0,,,,,
Argentina,8/01/2020,30-39,0,0,0,,,,,
Argentina,8/01/2020,40-49,0,0,0,,,,,
Argentina,8/01/2020,50-59,0,0,0,,,,,
Argentina,8/01/2020,60-69,0,0,0,,,,,
Argentina,8/01/2020,70-79,0,0,0,,,,,
Argentina,8/01/2020,80-89,0,0,0,,,,,
Argentina,8/01/2020,90-99,0,0,0,,,,,
Argentina,9/01/2020,100+,0,0,0,,,,,
Argentina,9/01/2020,12-17,0,0,0,,,,,
Argentina,9/01/2020,18-29,0,0,0,,,,,
Argentina,9/01/2020,3-11,0,0,0,,,,,
Argentina,9/01/2020,30-39,0,0,0,,,,,
Argentina,9/01/2020,40-49,0,0,0,,,,,
Argentina,9/01/2020,50-59,0,0,0,,,,,
Argentina,9/01/2020,60-69,0,0,0,,,,,
Argentina,9/01/2020,70-79,0,0,0,,,,,
Argentina,9/01/2020,80-89,0,0,0,,,,,
Argentina,9/01/2020,90-99,0,0,0,,,,,
Argentina,10/01/2020,100+,0,0,0,,,,,
Argentina,10/01/2020,12-17,0,0,0,,,,,
Argentina,10/01/2020,18-29,0,0,0,,,,,
Argentina,10/01/2020,3-11,0,0,0,,,,,
Argentina,10/01/2020,30-39,0,0,0,,,,,
Argentina,10/01/2020,40-49,0,0,0,,,,,
Argentina,10/01/2020,50-59,0,0,0,,,,,
Argentina,10/01/2020,60-69,0,0,0,,,,,
Argentina,10/01/2020,70-79,0,0,0,,,,,
Argentina,10/01/2020,80-89,0,0,0,,,,,
Argentina,10/01/2020,90-99,0,0,0,,,,,
Argentina,11/01/2020,100+,0,0,0,,,,,
Argentina,11/01/2020,12-17,0,0,0,,,,,
Argentina,11/01/2020,18-29,0,0,0,,,,,
Argentina,11/01/2020,3-11,0,0,0,,,,,
Argentina,11/01/2020,30-39,0,0,0,,,,,
Argentina,11/01/2020,40-49,0,0,0,,,,,
Argentina,11/01/2020,50-59,0,0,0,,,,,
Argentina,11/01/2020,60-69,0,0,0,,,,,
Argentina,11/01/2020,70-79,0,0,0,,,,,
Argentina,11/01/2020,80-89,0,0,0,,,,,
Argentina,11/01/2020,90-99,0,0,0,,,,,
Argentina,12/01/2020,100+,0,0,0,,,,,
Argentina,12/01/2020,12-17,0,0,0,,,,,
Argentina,12/01/2020,18-29,0,0,0,,,,,
Argentina,12/01/2020,3-11,0,0,0,,,,,
Argentina,12/01/2020,30-39,0,0,0,,,,,
Argentina,12/01/2020,40-49,0,0,0,,,,,
Argentina,12/01/2020,50-59,0,0,0,,,,,
Argentina,12/01/2020,60-69,0,0,0,,,,,
Argentina,12/01/2020,70-79,0,0,0,,,,,
Argentina,12/01/2020,80-89,0,0,0,,,,,
Argentina,12/01/2020,90-99,0,0,0,,,,,
Argentina,13/01/2020,100+,0,0,0,,,,,
Argentina,13/01/2020,12-17,0,0,0,,,,,
Argentina,13/01/2020,18-29,0,0,0,,,,,
Argentina,13/01/2020,3-11,0,0,0,,,,,
Argentina,13/01/2020,30-39,0,0,0,,,,,
Argentina,13/01/2020,40-49,0,0,0,,,,,
Argentina,13/01/2020,50-59,0,0,0,,,,,
Argentina,13/01/2020,60-69,0,0,0,,,,,
Argentina,13/01/2020,70-79,0,0,0,,,,,
Argentina,13/01/2020,80-89,0,0,0,,,,,
Argentina,13/01/2020,90-99,0,0,0,,,,,
Argentina,14/01/2020,100+,0,0,0,,,,,
Argentina,14/01/2020,12-17,0,0,0,,,,,
Argentina,14/01/2020,18-29,0,0,0,,,,,
Argentina,14/01/2020,3-11,0,0,0,,,,,
Argentina,14/01/2020,30-39,0,0,0,,,,,
Argentina,14/01/2020,40-49,0,0,0,,,,,
Argentina,14/01/2020,50-59,0,0,0,,,,,
Argentina,14/01/2020,60-69,0,0,0,,,,,
Argentina,14/01/2020,70-79,0,0,0,,,,,
