location,date,vaccine,total_vaccinations
Argentina,29/12/2020,Oxford/AstraZeneca,1
Argentina,29/12/2020,Sinopharm/Beijing,1
Argentina,29/12/2020,Sputnik V,20492
Argentina,30/12/2020,Sputnik V,40594
Argentina,31/12/2020,Sputnik V,43400
Argentina,1/01/2021,Oxford/AstraZeneca,3
Argentina,1/01/2021,Sputnik V,43527
Argentina,2/01/2021,Oxford/AstraZeneca,4
Argentina,2/01/2021,Pfizer/BioNTech,1
Argentina,2/01/2021,Sputnik V,46837
Argentina,3/01/2021,Pfizer/BioNTech,3
Argentina,3/01/2021,Sputnik V,47281
Argentina,4/01/2021,Sputnik V,57744
Argentina,5/01/2021,Sinopharm/Beijing,5
Argentina,5/01/2021,Sputnik V,68471
Argentina,6/01/2021,Oxford/AstraZeneca,5
Argentina,6/01/2021,Pfizer/BioNTech,6
Argentina,6/01/2021,Sinopharm/Beijing,8
Argentina,6/01/2021,Sputnik V,78584
Argentina,7/01/2021,Oxford/AstraZeneca,9
Argentina,7/01/2021,Pfizer/BioNTech,8
Argentina,7/01/2021,Sinopharm/Beijing,10
Argentina,7/01/2021,Sputnik V,96809
Argentina,8/01/2021,Oxford/AstraZeneca,10
Argentina,8/01/2021,Sputnik V,124702
Argentina,9/01/2021,Oxford/AstraZeneca,11
Argentina,9/01/2021,Pfizer/BioNTech,9
Argentina,9/01/2021,Sinopharm/Beijing,11
Argentina,9/01/2021,Sputnik V,134909
Argentina,10/01/2021,Pfizer/BioNTech,12
Argentina,10/01/2021,Sinopharm/Beijing,12
Argentina,10/01/2021,Sputnik V,136084
Argentina,11/01/2021,Oxford/AstraZeneca,12
Argentina,11/01/2021,Sinopharm/Beijing,14
Argentina,11/01/2021,Sputnik V,155912
Argentina,12/01/2021,Oxford/AstraZeneca,14
Argentina,12/01/2021,Pfizer/BioNTech,13
Argentina,12/01/2021,Sinopharm/Beijing,17
Argentina,12/01/2021,Sputnik V,175303
Argentina,13/01/2021,Moderna,1
Argentina,13/01/2021,Oxford/AstraZeneca,15
Argentina,13/01/2021,Sinopharm/Beijing,21
Argentina,13/01/2021,Sputnik V,192075
Argentina,14/01/2021,Pfizer/BioNTech,14
Argentina,14/01/2021,Sinopharm/Beijing,22
Argentina,14/01/2021,Sputnik V,208724
Argentina,15/01/2021,Sputnik V,226171
Argentina,16/01/2021,Sputnik V,232056
Argentina,17/01/2021,Pfizer/BioNTech,15
Argentina,17/01/2021,Sputnik V,233118
Argentina,18/01/2021,Pfizer/BioNTech,16
Argentina,18/01/2021,Sputnik V,242950
Argentina,19/01/2021,CanSino,1
Argentina,19/01/2021,Sinopharm/Beijing,24
Argentina,19/01/2021,Sputnik V,256204
Argentina,20/01/2021,Sputnik V,275638
Argentina,21/01/2021,Oxford/AstraZeneca,20
Argentina,21/01/2021,Sinopharm/Beijing,26
Argentina,21/01/2021,Sputnik V,289752
Argentina,22/01/2021,Oxford/AstraZeneca,23
Argentina,22/01/2021,Sinopharm/Beijing,27
Argentina,22/01/2021,Sputnik V,298971
Argentina,23/01/2021,Oxford/AstraZeneca,28
Argentina,23/01/2021,Sputnik V,302916
Argentina,24/01/2021,Oxford/AstraZeneca,29
Argentina,24/01/2021,Sputnik V,303219
Argentina,25/01/2021,Oxford/AstraZeneca,37
Argentina,25/01/2021,Sputnik V,317431
Argentina,26/01/2021,Oxford/AstraZeneca,75
Argentina,26/01/2021,Sinopharm/Beijing,28
Argentina,26/01/2021,Sputnik V,330209
Argentina,27/01/2021,Oxford/AstraZeneca,77
